Drug,Solvent,Drug SMILES,Solvent SMILES,Temperature,Solubility_log10,Solubility Unit
4-Aminobenzoic acid,2-Methyl-1-Propanol,C1=CC(=CC=C1C(=O)O)N,CC(C)CO,25,-0.715887417,mol/L
Acetylsalicylic acid,2-Methyl-1-Propanol,CC(=O)OC1=CC=CC=C1C(=O)O,CC(C)CO,25,-0.449537816,mol/L
Benzoic acid,2-Methyl-1-Propanol,C1=CC=C(C=C1)C(=O)O,CC(C)CO,25,0.287948595,mol/L
Ibuprofen,2-Methyl-1-Propanol,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,CC(C)CO,25,0.434074226,mol/L
Progesterone,2-Methyl-1-Propanol,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,CC(C)CO,25,-0.946170654,mol/L
Indomethacin,2-Methyl-1-Propanol,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,CC(C)CO,25,-1.571369097,mol/L
Ketoprofen,2-Methyl-1-Propanol,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,CC(C)CO,25,0.083237745,mol/L
Naproxen,2-Methyl-1-Propanol,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,CC(C)CO,25,-1.026563071,mol/L
Phenothiazine,2-Methyl-1-Propanol,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,CC(C)CO,25,-1.236978816,mol/L
Potassium clavulanate,2-Methyl-1-Propanol,C1C2N(C1=O)C(C(=CCO)O2)C(=O)[O-].[K+],CC(C)CO,1.4,-3.382497469,mol/L
Potassium clavulanate,2-Methyl-1-Propanol,C1C2N(C1=O)C(C(=CCO)O2)C(=O)[O-].[K+],CC(C)CO,4,-3.341514479,mol/L
Potassium clavulanate,2-Methyl-1-Propanol,C1C2N(C1=O)C(C(=CCO)O2)C(=O)[O-].[K+],CC(C)CO,8,-3.287396592,mol/L
Potassium clavulanate,2-Methyl-1-Propanol,C1C2N(C1=O)C(C(=CCO)O2)C(=O)[O-].[K+],CC(C)CO,11.95,-3.231222828,mol/L
Potassium clavulanate,2-Methyl-1-Propanol,C1C2N(C1=O)C(C(=CCO)O2)C(=O)[O-].[K+],CC(C)CO,16.65,-3.182202011,mol/L
Potassium clavulanate,2-Methyl-1-Propanol,C1C2N(C1=O)C(C(=CCO)O2)C(=O)[O-].[K+],CC(C)CO,21.55,-3.133668938,mol/L
Potassium clavulanate,2-Methyl-1-Propanol,C1C2N(C1=O)C(C(=CCO)O2)C(=O)[O-].[K+],CC(C)CO,25.6,-3.108276934,mol/L
Potassium clavulanate,2-Methyl-1-Propanol,C1C2N(C1=O)C(C(=CCO)O2)C(=O)[O-].[K+],CC(C)CO,28.4,-3.088290682,mol/L
Potassium clavulanate,2-Methyl-1-Propanol,C1C2N(C1=O)C(C(=CCO)O2)C(=O)[O-].[K+],CC(C)CO,31.9,-2.982276097,mol/L
Salicylamide,2-Methyl-1-Propanol,C1=CC=C(C(=C1)C(=O)N)O,CC(C)CO,25,-0.595979522,mol/L
Xanthene,2-Methyl-1-Propanol,C1C2=CC=CC=C2OC3=CC=CC=C31,CC(C)CO,25,-0.929926999,mol/L
p-Hydroxybenzoic acid,2-Methyl-1-Propanol,C1=CC(=CC=C1C(=O)O)O,CC(C)CO,25,0.206425569,mol/L
Sulfadiazine,2-Methyl-1-Propanol,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,CC(C)CO,25,-3.535470214,mol/L
Sulfamethoxypyridazine,2-Methyl-1-Propanol,COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N,CC(C)CO,25,-2.333190186,mol/L
Sulfamethoxypyridazine,Diethylene glycol,COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N,C(COCCO)O,25,-0.502790608,mol/L
4-Aminobenzoic acid,1-Hexanol,C1=CC(=CC=C1C(=O)O)N,CCCCCCO,25,-0.658248815,mol/L
Acetylsalicylic acid,1-Hexanol,CC(=O)OC1=CC=CC=C1C(=O)O,CCCCCCO,25,-0.483704781,mol/L
Acetylsalicylic acid,1-Hexanol,CC(=O)OC1=CC=CC=C1C(=O)O,CCCCCCO,25,-0.478784338,mol/L
Benzoic acid,1-Hexanol,C1=CC=C(C=C1)C(=O)O,CCCCCCO,25,0.276168586,mol/L
Benzoic acid,1-Hexanol,C1=CC=C(C=C1)C(=O)O,CCCCCCO,25,0.305139737,mol/L
Betulin,1-Hexanol,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,CCCCCCO,5.05,-2.223613394,mol/L
Betulin,1-Hexanol,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,CCCCCCO,15.05,-2.167771617,mol/L
Betulin,1-Hexanol,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,CCCCCCO,25.05,-2.086466146,mol/L
Betulin,1-Hexanol,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,CCCCCCO,35.05,-1.990127932,mol/L
Butyl p-hydroxybenzoate,1-Hexanol,CCCCOC(=O)C1=CC=C(C=C1)O,CCCCCCO,25,0.675213723,mol/L
Butylparaben,1-Hexanol,CCCCOC(=O)C1=CC=C(C=C1)O,CCCCCCO,25,0.671487466,mol/L
Butylparaben,1-Hexanol,CCCCOC(=O)C1=CC=C(C=C1)O,CCCCCCO,30,0.71933218,mol/L
Butylparaben,1-Hexanol,CCCCOC(=O)C1=CC=C(C=C1)O,CCCCCCO,35,0.806798638,mol/L
Butylparaben,1-Hexanol,CCCCOC(=O)C1=CC=C(C=C1)O,CCCCCCO,40,0.916651499,mol/L
Ethylparaben,1-Hexanol,CCOC(=O)C1=CC=C(C=C1)O,CCCCCCO,25,0.271931409,mol/L
Ethylparaben,1-Hexanol,CCOC(=O)C1=CC=C(C=C1)O,CCCCCCO,30,0.28872919,mol/L
Ethylparaben,1-Hexanol,CCOC(=O)C1=CC=C(C=C1)O,CCCCCCO,35,0.334300102,mol/L
Ethylparaben,1-Hexanol,CCOC(=O)C1=CC=C(C=C1)O,CCCCCCO,40,0.374808006,mol/L
Ethyl p-hydroxybenzoate,1-Hexanol,CCOC(=O)C1=CC=C(C=C1)O,CCCCCCO,25,0.240038644,mol/L
Flubiprofen,1-Hexanol,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,CCCCCCO,25,-0.208331651,mol/L
Ketoprofen,1-Hexanol,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,CCCCCCO,25,-0.148011577,mol/L
Lovastatin,1-Hexanol,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,CCCCCCO,20.7,-1.534419991,mol/L
Lovastatin,1-Hexanol,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,CCCCCCO,22.7,-1.492166963,mol/L
Lovastatin,1-Hexanol,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,CCCCCCO,25.8,-1.435584716,mol/L
Lovastatin,1-Hexanol,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,CCCCCCO,27.5,-1.402468221,mol/L
Lovastatin,1-Hexanol,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,CCCCCCO,30.75,-1.340729897,mol/L
Lovastatin,1-Hexanol,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,CCCCCCO,35.75,-1.245210468,mol/L
Lovastatin,1-Hexanol,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,CCCCCCO,38.85,-1.206834261,mol/L
Mestanolone,1-Hexanol,CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4(C)O)C,CCCCCCO,25,-1.057369892,mol/L
Methandienone,1-Hexanol,CC12CCC3C(C1CCC2(C)O)CCC4=CC(=O)C=CC34C,CCCCCCO,25,-0.290486144,mol/L
Methyl paraben,1-Hexanol,COC(=O)C1=CC=C(C=C1)O.O,CCCCCCO,25,0.167965448,mol/L
Methyl paraben,1-Hexanol,COC(=O)C1=CC=C(C=C1)O.O,CCCCCCO,30,0.203432496,mol/L
Methyl paraben,1-Hexanol,COC(=O)C1=CC=C(C=C1)O.O,CCCCCCO,35,0.263378998,mol/L
Methyl paraben,1-Hexanol,COC(=O)C1=CC=C(C=C1)O.O,CCCCCCO,40,0.315877191,mol/L
Methyl p-hydroxybenzoate,1-Hexanol,COC(=O)C1=CC=C(C=C1)O,CCCCCCO,25,0.140858763,mol/L
Methyl p-hydroxybenzoate,1-Hexanol,COC(=O)C1=CC=C(C=C1)O,CCCCCCO,25,0.143278466,mol/L
Methyltestosterone,1-Hexanol,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C)O)C,CCCCCCO,25,-0.449327822,mol/L
Nandrolone,1-Hexanol,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34,CCCCCCO,25,-0.106173827,mol/L
Naproxen,1-Hexanol,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,CCCCCCO,25,-0.867334246,mol/L
Paracetamol,1-Hexanol,CC(=O)NC1=CC=C(C=C1)O,CCCCCCO,30,-0.569179268,mol/L
Paracetamol,1-Hexanol,CC(=O)NC1=CC=C(C=C1)O,CCCCCCO,30,-0.592849579,mol/L
Phenothiazine,1-Hexanol,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,CCCCCCO,25,-0.894991294,mol/L
p-Hydroxybenzoic acid,1-Hexanol,C1=CC(=CC=C1C(=O)O)O,CCCCCCO,25,0.019949333,mol/L
Pimozide,1-Hexanol,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,CCCCCCO,25,-1.574241647,mol/L
Propyl p-hydroxybenzoate,1-Hexanol,CCCOC(=O)C1=CC=C(C=C1)O,CCCCCCO,25,0.344628147,mol/L
Propylparaben,1-Hexanol,CCCOC(=O)C1=CC=C(C=C1)O,CCCCCCO,25,0.329082662,mol/L
Propylparaben,1-Hexanol,CCCOC(=O)C1=CC=C(C=C1)O,CCCCCCO,30,0.441157489,mol/L
Propylparaben,1-Hexanol,CCCOC(=O)C1=CC=C(C=C1)O,CCCCCCO,35,0.505029277,mol/L
Propylparaben,1-Hexanol,CCCOC(=O)C1=CC=C(C=C1)O,CCCCCCO,40,0.542700309,mol/L
Salicylamide,1-Hexanol,C1=CC=C(C(=C1)C(=O)N)O,CCCCCCO,25,-0.566522976,mol/L
Temazepam,1-Hexanol,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,CCCCCCO,25,-1.291575921,mol/L
Testosterone,1-Hexanol,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,CCCCCCO,25,-0.377013882,mol/L
Thalidomide,1-Hexanol,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,CCCCCCO,32,-3.031795463,mol/L
Xanthene,1-Hexanol,C1C2=CC=CC=C2OC3=CC=CC=C31,CCCCCCO,25,-0.631097404,mol/L
Sulfamethoxypyridazine,"N,N-Dimethylacetamide",COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N,CC(=O)N(C)C,25,0.048448403,mol/L
Benzoic acid,Dimethyl Sulfoxide,C1=CC=C(C=C1)C(=O)O,CS(=O)C,25,1.166240952,mol/L
¦Â-Carotene,Dimethyl Sulfoxide,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,CS(=O)C,25,-4.252588192,mol/L
Clindamycin phosphate,Dimethyl Sulfoxide,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)OP(=O)(O)O)O)O)C(C)Cl,CS(=O)C,25,-2.225984989,mol/L
Clindamycin phosphate,Dimethyl Sulfoxide,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)OP(=O)(O)O)O)O)C(C)Cl,CS(=O)C,30,-2.136087911,mol/L
Clindamycin phosphate,Dimethyl Sulfoxide,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)OP(=O)(O)O)O)O)C(C)Cl,CS(=O)C,35,-2.00483862,mol/L
Clindamycin phosphate,Dimethyl Sulfoxide,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)OP(=O)(O)O)O)O)C(C)Cl,CS(=O)C,40,-1.900241276,mol/L
Clindamycin phosphate,Dimethyl Sulfoxide,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)OP(=O)(O)O)O)O)C(C)Cl,CS(=O)C,45,-1.772866408,mol/L
Clindamycin phosphate,Dimethyl Sulfoxide,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)OP(=O)(O)O)O)O)C(C)Cl,CS(=O)C,50,-1.673001219,mol/L
Clindamycin phosphate,Dimethyl Sulfoxide,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)OP(=O)(O)O)O)O)C(C)Cl,CS(=O)C,55,-1.514278162,mol/L
Clindamycin phosphate,Dimethyl Sulfoxide,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)OP(=O)(O)O)O)O)C(C)Cl,CS(=O)C,60,-1.394023136,mol/L
Haloperidol,Dimethyl Sulfoxide,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,CS(=O)C,25,-0.822541721,mol/L
Lutein,Dimethyl Sulfoxide,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CC(CC2(C)C)O)C)C)C,CS(=O)C,25,-2.755035975,mol/L
Luteolin,Dimethyl Sulfoxide,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,CS(=O)C,25,-0.118492257,mol/L
Luteolin,Dimethyl Sulfoxide,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,CS(=O)C,40,-0.000525454,mol/L
Luteolin,Dimethyl Sulfoxide,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,CS(=O)C,60,0.116405418,mol/L
Methyl p-hydroxybenzoate,Dimethyl Sulfoxide,COC(=O)C1=CC=C(C=C1)O,CS(=O)C,25,1.295660038,mol/L
Paracetamol,Dimethyl Sulfoxide,CC(=O)NC1=CC=C(C=C1)O,CS(=O)C,30,0.916017021,mol/L
p-Hydroxybenzoic acid,Dimethyl Sulfoxide,C1=CC(=CC=C1C(=O)O)O,CS(=O)C,25,0.912529243,mol/L
Ricobendazole,Dimethyl Sulfoxide,CCCS(=O)C1=CC2=C(C=C1)N=C(N2)NC(=O)OC,CS(=O)C,25,-1.231732102,mol/L
Sodium diclofenac,Dimethyl Sulfoxide,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],CS(=O)C,20,-0.411952962,mol/L
Sodium diclofenac,Dimethyl Sulfoxide,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],CS(=O)C,25,-0.330837215,mol/L
Sodium diclofenac,Dimethyl Sulfoxide,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],CS(=O)C,30,-0.282194037,mol/L
Sodium diclofenac,Dimethyl Sulfoxide,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],CS(=O)C,35,-0.201099596,mol/L
Sodium diclofenac,Dimethyl Sulfoxide,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],CS(=O)C,40,-0.134835123,mol/L
Sulfadiazine,Dimethyl Sulfoxide,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,CS(=O)C,25,0.572580926,mol/L
Sulfamethoxypyridazine,Dimethyl Sulfoxide,COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N,CS(=O)C,25,0.572587737,mol/L
Acetanilide,Chloroform,CC(=O)NC1=CC=CC=C1,C(Cl)(Cl)Cl,25,0.269512944,mol/L
Acetanilide,Chloroform,CC(=O)NC1=CC=CC=C1,C(Cl)(Cl)Cl,30,0.318063335,mol/L
Acetanilide,Chloroform,CC(=O)NC1=CC=CC=C1,C(Cl)(Cl)Cl,35,0.389166084,mol/L
Acetanilide,Chloroform,CC(=O)NC1=CC=CC=C1,C(Cl)(Cl)Cl,40,0.419955748,mol/L
Acetic acid,Chloroform,CC(=O)O,C(Cl)(Cl)Cl,-29.2,0.880758429,mol/L
Acetic acid,Chloroform,CC(=O)O,C(Cl)(Cl)Cl,-26.8,0.988631171,mol/L
Acetic acid,Chloroform,CC(=O)O,C(Cl)(Cl)Cl,-21.1,1.128128628,mol/L
Acetic acid,Chloroform,CC(=O)O,C(Cl)(Cl)Cl,-15.2,1.233545225,mol/L
Acetic acid,Chloroform,CC(=O)O,C(Cl)(Cl)Cl,-9,1.296780908,mol/L
Acetic acid,Chloroform,CC(=O)O,C(Cl)(Cl)Cl,-7.3,1.305974614,mol/L
Acetic acid,Chloroform,CC(=O)O,C(Cl)(Cl)Cl,-3.9,1.410786933,mol/L
Acetic acid,Chloroform,CC(=O)O,C(Cl)(Cl)Cl,-3,1.461343307,mol/L
Acetic acid,Chloroform,CC(=O)O,C(Cl)(Cl)Cl,0.7,1.547624893,mol/L
Acetic acid,Chloroform,CC(=O)O,C(Cl)(Cl)Cl,2.2,1.655797718,mol/L
Acetic acid,Chloroform,CC(=O)O,C(Cl)(Cl)Cl,4.3,1.70912779,mol/L
Acetic acid,Chloroform,CC(=O)O,C(Cl)(Cl)Cl,6.9,1.863964634,mol/L
Acetic acid,Chloroform,CC(=O)O,C(Cl)(Cl)Cl,10,2.047609031,mol/L
Acetic acid,Chloroform,CC(=O)O,C(Cl)(Cl)Cl,12.5,2.21675143,mol/L
Acetylsalicylic acid,Chloroform,CC(=O)OC1=CC=CC=C1C(=O)O,C(Cl)(Cl)Cl,25,0.507413239,mol/L
Benzoic acid,Chloroform,C1=CC=C(C=C1)C(=O)O,C(Cl)(Cl)Cl,25,0.261226132,mol/L
¦Â-Carotene,Chloroform,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,C(Cl)(Cl)Cl,25,-2.428863463,mol/L
Betulin,Chloroform,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,C(Cl)(Cl)Cl,5.05,-1.490194684,mol/L
Betulin,Chloroform,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,C(Cl)(Cl)Cl,15.05,-1.376633321,mol/L
Betulin,Chloroform,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,C(Cl)(Cl)Cl,25.05,-1.264250018,mol/L
Betulin,Chloroform,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,C(Cl)(Cl)Cl,35.05,-1.195902226,mol/L
Carbamazepine,Chloroform,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,C(Cl)(Cl)Cl,25,-0.145521877,mol/L
Chloramine,Chloroform,NCl,C(Cl)(Cl)Cl,25,-0.53673701,mol/L
Diclofenac,Chloroform,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],C(Cl)(Cl)Cl,25,-0.929823906,mol/L
Erythromycin A dihydrate,Chloroform,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,C(Cl)(Cl)Cl,20.05,-1.312309497,mol/L
Erythromycin A dihydrate,Chloroform,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,C(Cl)(Cl)Cl,24.85,-1.171969042,mol/L
Erythromycin A dihydrate,Chloroform,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,C(Cl)(Cl)Cl,30,-0.960858699,mol/L
Erythromycin A dihydrate,Chloroform,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,C(Cl)(Cl)Cl,34.85,-0.773341411,mol/L
Erythromycin A dihydrate,Chloroform,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,C(Cl)(Cl)Cl,39.95,-0.562901719,mol/L
Erythromycin A dihydrate,Chloroform,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,C(Cl)(Cl)Cl,44.85,-0.397421699,mol/L
Erythromycin A dihydrate,Chloroform,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,C(Cl)(Cl)Cl,49.85,-0.210343155,mol/L
Haloperidol,Chloroform,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,C(Cl)(Cl)Cl,25,0.372819337,mol/L
Hydrocortisone,Chloroform,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,C(Cl)(Cl)Cl,25,-1.950781977,mol/L
Ibuprofen,Chloroform,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,C(Cl)(Cl)Cl,25,0.477121255,mol/L
Ibuprofen,Chloroform,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,C(Cl)(Cl)Cl,30,0.532728906,mol/L
Ibuprofen,Chloroform,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,C(Cl)(Cl)Cl,35,0.580924976,mol/L
Ibuprofen,Chloroform,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,C(Cl)(Cl)Cl,40,0.62572391,mol/L
Ibuprofen,Chloroform,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,C(Cl)(Cl)Cl,10,0.516195691,mol/L
Ibuprofen,Chloroform,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,C(Cl)(Cl)Cl,15,0.599706143,mol/L
Ibuprofen,Chloroform,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,C(Cl)(Cl)Cl,20,0.665229621,mol/L
Ibuprofen,Chloroform,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,C(Cl)(Cl)Cl,25,0.62500794,mol/L
Irbesartan (form A),Chloroform,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,C(Cl)(Cl)Cl,4.55,-1.828746293,mol/L
Irbesartan (form A),Chloroform,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,C(Cl)(Cl)Cl,10.15,-1.789124961,mol/L
Irbesartan (form A),Chloroform,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,C(Cl)(Cl)Cl,14.55,-1.742540691,mol/L
Irbesartan (form A),Chloroform,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,C(Cl)(Cl)Cl,19.55,-1.697758992,mol/L
Irbesartan (form A),Chloroform,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,C(Cl)(Cl)Cl,24.6,-1.652031212,mol/L
Irbesartan (form A),Chloroform,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,C(Cl)(Cl)Cl,29.7,-1.602130822,mol/L
Irbesartan (form A),Chloroform,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,C(Cl)(Cl)Cl,34.65,-1.553085956,mol/L
Irbesartan (form A),Chloroform,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,C(Cl)(Cl)Cl,40.25,-1.491871323,mol/L
Irbesartan (form A),Chloroform,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,C(Cl)(Cl)Cl,44.65,-1.437748842,mol/L
Irbesartan (form A),Chloroform,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,C(Cl)(Cl)Cl,49.85,-1.380001285,mol/L
Lutein,Chloroform,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CC(CC2(C)C)O)C)C)C,C(Cl)(Cl)Cl,25,-1.976884684,mol/L
Naproxen,Chloroform,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,C(Cl)(Cl)Cl,20,-0.623423043,mol/L
Naproxen,Chloroform,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,C(Cl)(Cl)Cl,25,-0.412048535,mol/L
Naproxen,Chloroform,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,C(Cl)(Cl)Cl,25,-0.540607512,mol/L
Naproxen,Chloroform,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,C(Cl)(Cl)Cl,30,-0.493494968,mol/L
Naproxen,Chloroform,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,C(Cl)(Cl)Cl,35,-0.417141538,mol/L
Naproxen,Chloroform,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,C(Cl)(Cl)Cl,40,-0.357337669,mol/L
Niflumic acid,Chloroform,C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F,C(Cl)(Cl)Cl,25,-1.798052681,mol/L
p-Aminobenzoic acid,Chloroform,C1=CC(=CC=C1C(=O)O)N,C(Cl)(Cl)Cl,25,-0.840293837,mol/L
p-Aminophenylacetic acid,Chloroform,C1=CC(=CC=C1CC(=O)O)N.Cl,C(Cl)(Cl)Cl,16,-2.148774928,mol/L
p-Aminophenylacetic acid,Chloroform,C1=CC(=CC=C1CC(=O)O)N.Cl,C(Cl)(Cl)Cl,30,-1.82426382,mol/L
